Command line
Loss = 9.9716e-01, PNorm = 40.2653, GNorm = 2.4447, lr_0 = 1.1802e-04
Loss = 8.2348e-01, PNorm = 40.2823, GNorm = 2.9573, lr_0 = 1.1839e-04
Loss = 8.8374e-01, PNorm = 40.2941, GNorm = 2.3640, lr_0 = 1.1875e-04
Loss = 7.7576e-01, PNorm = 40.3058, GNorm = 1.0314, lr_0 = 1.1912e-04
Loss = 8.2902e-01, PNorm = 40.3184, GNorm = 2.0040, lr_0 = 1.1949e-04
Loss = 8.3852e-01, PNorm = 40.3337, GNorm = 6.0801, lr_0 = 1.1986e-04
Loss = 8.9685e-01, PNorm = 40.3439, GNorm = 1.8668, lr_0 = 1.2022e-04
Loss = 8.4938e-01, PNorm = 40.3589, GNorm = 3.0248, lr_0 = 1.2059e-04
Loss = 8.4959e-01, PNorm = 40.3702, GNorm = 2.2271, lr_0 = 1.2096e-04
Loss = 8.6165e-01, PNorm = 40.3823, GNorm = 2.5388, lr_0 = 1.2132e-04
Loss = 7.6843e-01, PNorm = 40.3974, GNorm = 1.0887, lr_0 = 1.2169e-04
Loss = 6.6685e-01, PNorm = 40.4083, GNorm = 0.9040, lr_0 = 1.2206e-04
Loss = 8.4220e-01, PNorm = 40.4195, GNorm = 1.5356, lr_0 = 1.2242e-04
Loss = 8.5944e-01, PNorm = 40.4329, GNorm = 1.5175, lr_0 = 1.2279e-04
Loss = 9.3044e-01, PNorm = 40.4456, GNorm = 1.4665, lr_0 = 1.2316e-04
Loss = 9.2133e-01, PNorm = 40.4600, GNorm = 1.4312, lr_0 = 1.2353e-04
Loss = 9.9954e-01, PNorm = 40.4729, GNorm = 1.7196, lr_0 = 1.2389e-04
Loss = 8.5682e-01, PNorm = 40.4919, GNorm = 1.2588, lr_0 = 1.2426e-04
Loss = 9.5234e-01, PNorm = 40.5038, GNorm = 1.7002, lr_0 = 1.2463e-04
Loss = 8.7163e-01, PNorm = 40.5218, GNorm = 3.8831, lr_0 = 1.2499e-04
Loss = 8.6843e-01, PNorm = 40.5336, GNorm = 1.4346, lr_0 = 1.2536e-04
Loss = 8.6409e-01, PNorm = 40.5483, GNorm = 2.3235, lr_0 = 1.2573e-04
Loss = 6.9329e-01, PNorm = 40.5633, GNorm = 1.4759, lr_0 = 1.2609e-04
Loss = 8.5313e-01, PNorm = 40.5744, GNorm = 2.1004, lr_0 = 1.2646e-04
Loss = 1.0688e+00, PNorm = 40.5892, GNorm = 3.4244, lr_0 = 1.2683e-04
Loss = 1.0048e+00, PNorm = 40.6045, GNorm = 2.2078, lr_0 = 1.2720e-04
Loss = 9.2453e-01, PNorm = 40.6218, GNorm = 1.2422, lr_0 = 1.2756e-04
Loss = 8.6814e-01, PNorm = 40.6343, GNorm = 1.7190, lr_0 = 1.2793e-04
Loss = 9.1647e-01, PNorm = 40.6509, GNorm = 3.1745, lr_0 = 1.2830e-04
Loss = 8.2059e-01, PNorm = 40.6729, GNorm = 2.4155, lr_0 = 1.2866e-04
Loss = 9.7162e-01, PNorm = 40.6871, GNorm = 3.6117, lr_0 = 1.2903e-04
Loss = 9.3425e-01, PNorm = 40.7087, GNorm = 1.1750, lr_0 = 1.2940e-04
Loss = 8.3074e-01, PNorm = 40.7262, GNorm = 1.7916, lr_0 = 1.2977e-04
Loss = 7.6351e-01, PNorm = 40.7416, GNorm = 1.2265, lr_0 = 1.3013e-04
Loss = 9.4503e-01, PNorm = 40.7579, GNorm = 1.5672, lr_0 = 1.3050e-04
Loss = 8.8348e-01, PNorm = 40.7780, GNorm = 1.3171, lr_0 = 1.3087e-04
Loss = 8.3844e-01, PNorm = 40.7991, GNorm = 1.2701, lr_0 = 1.3123e-04
Loss = 8.1372e-01, PNorm = 40.8203, GNorm = 0.9758, lr_0 = 1.3160e-04
Loss = 8.3455e-01, PNorm = 40.8392, GNorm = 2.3498, lr_0 = 1.3197e-04
Loss = 8.6285e-01, PNorm = 40.8549, GNorm = 1.2982, lr_0 = 1.3233e-04
Loss = 7.5801e-01, PNorm = 40.8728, GNorm = 2.7960, lr_0 = 1.3270e-04
Loss = 7.8767e-01, PNorm = 40.8865, GNorm = 1.3648, lr_0 = 1.3307e-04
Loss = 9.1133e-01, PNorm = 40.9017, GNorm = 1.6149, lr_0 = 1.3344e-04
Loss = 8.8999e-01, PNorm = 40.9164, GNorm = 4.0756, lr_0 = 1.3380e-04
Loss = 7.6624e-01, PNorm = 40.9281, GNorm = 2.3859, lr_0 = 1.3417e-04
Loss = 8.2131e-01, PNorm = 40.9395, GNorm = 2.0896, lr_0 = 1.3454e-04
Loss = 7.5695e-01, PNorm = 40.9520, GNorm = 1.2189, lr_0 = 1.3490e-04
Loss = 7.5251e-01, PNorm = 40.9666, GNorm = 1.2036, lr_0 = 1.3527e-04
Loss = 8.0715e-01, PNorm = 40.9792, GNorm = 1.1107, lr_0 = 1.3564e-04
Loss = 7.5136e-01, PNorm = 40.9894, GNorm = 1.0308, lr_0 = 1.3600e-04
Loss = 8.7644e-01, PNorm = 40.9991, GNorm = 2.1222, lr_0 = 1.3637e-04
Loss = 9.7237e-01, PNorm = 41.0125, GNorm = 0.7798, lr_0 = 1.3674e-04
Loss = 8.8560e-01, PNorm = 41.0292, GNorm = 2.3789, lr_0 = 1.3711e-04
Loss = 8.0874e-01, PNorm = 41.0486, GNorm = 1.1800, lr_0 = 1.3747e-04
Loss = 8.6053e-01, PNorm = 41.0625, GNorm = 1.5114, lr_0 = 1.3784e-04
Loss = 8.1560e-01, PNorm = 41.0809, GNorm = 1.8612, lr_0 = 1.3821e-04
Loss = 9.1432e-01, PNorm = 41.0945, GNorm = 1.6978, lr_0 = 1.3857e-04
Loss = 8.7731e-01, PNorm = 41.1141, GNorm = 1.7474, lr_0 = 1.3894e-04
Loss = 8.0755e-01, PNorm = 41.1313, GNorm = 3.6593, lr_0 = 1.3931e-04
Loss = 8.9720e-01, PNorm = 41.1482, GNorm = 1.3271, lr_0 = 1.3967e-04
Loss = 7.9574e-01, PNorm = 41.1699, GNorm = 0.8989, lr_0 = 1.4004e-04
Loss = 8.7577e-01, PNorm = 41.1831, GNorm = 0.9340, lr_0 = 1.4041e-04
Loss = 8.4015e-01, PNorm = 41.2014, GNorm = 1.5979, lr_0 = 1.4078e-04
Loss = 9.6724e-01, PNorm = 41.2192, GNorm = 1.6307, lr_0 = 1.4114e-04
Loss = 7.4367e-01, PNorm = 41.2407, GNorm = 1.7065, lr_0 = 1.4151e-04
Loss = 8.4208e-01, PNorm = 41.2509, GNorm = 1.5397, lr_0 = 1.4188e-04
Loss = 6.9905e-01, PNorm = 41.2677, GNorm = 1.7983, lr_0 = 1.4224e-04
Loss = 7.2842e-01, PNorm = 41.2745, GNorm = 1.4722, lr_0 = 1.4261e-04
Loss = 8.0488e-01, PNorm = 41.2866, GNorm = 2.0197, lr_0 = 1.4298e-04
Loss = 8.1447e-01, PNorm = 41.2982, GNorm = 1.0900, lr_0 = 1.4334e-04
Loss = 9.1980e-01, PNorm = 41.3087, GNorm = 1.7680, lr_0 = 1.4371e-04
Loss = 9.8678e-01, PNorm = 41.3228, GNorm = 1.8267, lr_0 = 1.4408e-04
Loss = 9.1567e-01, PNorm = 41.3397, GNorm = 1.0970, lr_0 = 1.4445e-04
Loss = 8.3846e-01, PNorm = 41.3554, GNorm = 1.6395, lr_0 = 1.4481e-04
Loss = 8.8968e-01, PNorm = 41.3697, GNorm = 1.6174, lr_0 = 1.4518e-04
Loss = 9.4596e-01, PNorm = 41.3830, GNorm = 1.3146, lr_0 = 1.4555e-04
Loss = 8.2507e-01, PNorm = 41.4028, GNorm = 3.3539, lr_0 = 1.4591e-04
Loss = 7.7910e-01, PNorm = 41.4165, GNorm = 2.5544, lr_0 = 1.4628e-04
Loss = 7.3710e-01, PNorm = 41.4293, GNorm = 1.5828, lr_0 = 1.4665e-04
Loss = 7.6063e-01, PNorm = 41.4360, GNorm = 1.0346, lr_0 = 1.4701e-04
Loss = 6.4991e-01, PNorm = 41.4479, GNorm = 1.1540, lr_0 = 1.4738e-04
Loss = 9.0964e-01, PNorm = 41.4592, GNorm = 1.6210, lr_0 = 1.4775e-04
Loss = 8.9434e-01, PNorm = 41.4791, GNorm = 0.9732, lr_0 = 1.4812e-04
Loss = 1.0116e+00, PNorm = 41.4942, GNorm = 2.4082, lr_0 = 1.4848e-04
Loss = 8.1730e-01, PNorm = 41.5149, GNorm = 1.4171, lr_0 = 1.4885e-04
Loss = 9.1743e-01, PNorm = 41.5312, GNorm = 1.8313, lr_0 = 1.4922e-04
Loss = 7.1202e-01, PNorm = 41.5504, GNorm = 1.5540, lr_0 = 1.4958e-04
Loss = 7.9236e-01, PNorm = 41.5608, GNorm = 1.9673, lr_0 = 1.4995e-04
Loss = 7.6851e-01, PNorm = 41.5734, GNorm = 0.9310, lr_0 = 1.5032e-04
Loss = 7.5044e-01, PNorm = 41.5837, GNorm = 1.0080, lr_0 = 1.5069e-04
Loss = 8.0366e-01, PNorm = 41.5959, GNorm = 1.7400, lr_0 = 1.5105e-04
Loss = 8.1243e-01, PNorm = 41.6102, GNorm = 1.7193, lr_0 = 1.5142e-04
Loss = 7.5671e-01, PNorm = 41.6248, GNorm = 2.8560, lr_0 = 1.5179e-04
Loss = 8.8074e-01, PNorm = 41.6400, GNorm = 1.1448, lr_0 = 1.5215e-04
Loss = 9.2292e-01, PNorm = 41.6610, GNorm = 1.5346, lr_0 = 1.5252e-04
Loss = 8.1581e-01, PNorm = 41.6772, GNorm = 1.2574, lr_0 = 1.5289e-04
Loss = 8.9589e-01, PNorm = 41.6890, GNorm = 1.2785, lr_0 = 1.5325e-04
Loss = 8.0573e-01, PNorm = 41.7048, GNorm = 1.7211, lr_0 = 1.5362e-04
Loss = 7.4200e-01, PNorm = 41.7163, GNorm = 1.1989, lr_0 = 1.5399e-04
Loss = 9.0572e-01, PNorm = 41.7305, GNorm = 1.6706, lr_0 = 1.5436e-04
Loss = 8.0847e-01, PNorm = 41.7430, GNorm = 1.0329, lr_0 = 1.5472e-04
Loss = 9.1038e-01, PNorm = 41.7530, GNorm = 2.7298, lr_0 = 1.5509e-04
Loss = 8.9291e-01, PNorm = 41.7707, GNorm = 1.1055, lr_0 = 1.5546e-04
Loss = 8.3405e-01, PNorm = 41.7883, GNorm = 2.3897, lr_0 = 1.5582e-04
Loss = 8.2767e-01, PNorm = 41.8099, GNorm = 1.1047, lr_0 = 1.5619e-04
Loss = 6.6630e-01, PNorm = 41.8254, GNorm = 0.9877, lr_0 = 1.5656e-04
Loss = 9.6679e-01, PNorm = 41.8345, GNorm = 2.5564, lr_0 = 1.5692e-04
Loss = 8.7419e-01, PNorm = 41.8479, GNorm = 1.2562, lr_0 = 1.5729e-04
Loss = 8.4712e-01, PNorm = 41.8680, GNorm = 1.3091, lr_0 = 1.5766e-04
Loss = 7.3339e-01, PNorm = 41.8864, GNorm = 1.5558, lr_0 = 1.5803e-04
Loss = 8.4732e-01, PNorm = 41.9018, GNorm = 1.3010, lr_0 = 1.5839e-04
Loss = 7.8152e-01, PNorm = 41.9170, GNorm = 1.4803, lr_0 = 1.5876e-04
Loss = 9.2574e-01, PNorm = 41.9297, GNorm = 1.5819, lr_0 = 1.5913e-04
Loss = 8.1637e-01, PNorm = 41.9435, GNorm = 4.5268, lr_0 = 1.5949e-04
Loss = 7.9659e-01, PNorm = 41.9490, GNorm = 1.2155, lr_0 = 1.5986e-04
Loss = 9.2212e-01, PNorm = 41.9665, GNorm = 1.5663, lr_0 = 1.6023e-04
Loss = 8.4128e-01, PNorm = 41.9895, GNorm = 2.0428, lr_0 = 1.6059e-04
Loss = 8.4074e-01, PNorm = 42.0117, GNorm = 1.4322, lr_0 = 1.6096e-04
Loss = 9.6376e-01, PNorm = 42.0285, GNorm = 2.1025, lr_0 = 1.6133e-04
Loss = 9.2180e-01, PNorm = 42.0484, GNorm = 1.2131, lr_0 = 1.6170e-04
Loss = 6.2025e-01, PNorm = 42.0663, GNorm = 0.8216, lr_0 = 1.6206e-04
Loss = 7.9679e-01, PNorm = 42.0772, GNorm = 1.0462, lr_0 = 1.6243e-04
Loss = 7.2278e-01, PNorm = 42.0925, GNorm = 1.5056, lr_0 = 1.6280e-04
Loss = 7.4971e-01, PNorm = 42.1005, GNorm = 2.2137, lr_0 = 1.6316e-04
Loss = 8.7560e-01, PNorm = 42.1147, GNorm = 1.0226, lr_0 = 1.6353e-04
Loss = 7.0142e-01, PNorm = 42.1293, GNorm = 0.9059, lr_0 = 1.6390e-04
Loss = 8.7853e-01, PNorm = 42.1372, GNorm = 1.4803, lr_0 = 1.6426e-04
Loss = 8.8610e-01, PNorm = 42.1556, GNorm = 0.8362, lr_0 = 1.6463e-04
Loss = 9.0838e-01, PNorm = 42.1738, GNorm = 1.1421, lr_0 = 1.6500e-04
Loss = 8.7790e-01, PNorm = 42.1887, GNorm = 1.2022, lr_0 = 1.6537e-04
Loss = 8.4926e-01, PNorm = 42.2069, GNorm = 1.0209, lr_0 = 1.6573e-04
Loss = 8.5931e-01, PNorm = 42.2268, GNorm = 2.2527, lr_0 = 1.6610e-04
Loss = 7.4660e-01, PNorm = 42.2498, GNorm = 0.9648, lr_0 = 1.6647e-04
Loss = 8.8897e-01, PNorm = 42.2640, GNorm = 1.4685, lr_0 = 1.6683e-04
Loss = 9.5477e-01, PNorm = 42.2937, GNorm = 1.2150, lr_0 = 1.6720e-04
Loss = 9.1740e-01, PNorm = 42.3221, GNorm = 1.3100, lr_0 = 1.6757e-04
Loss = 9.5434e-01, PNorm = 42.3457, GNorm = 1.3612, lr_0 = 1.6793e-04
Loss = 8.4863e-01, PNorm = 42.3653, GNorm = 1.7497, lr_0 = 1.6830e-04
Loss = 8.5199e-01, PNorm = 42.3836, GNorm = 1.2198, lr_0 = 1.6867e-04
Loss = 8.0652e-01, PNorm = 42.4054, GNorm = 1.1881, lr_0 = 1.6904e-04
Loss = 9.0656e-01, PNorm = 42.4178, GNorm = 2.1560, lr_0 = 1.6940e-04
Loss = 8.8939e-01, PNorm = 42.4377, GNorm = 1.5289, lr_0 = 1.6977e-04
Loss = 7.5696e-01, PNorm = 42.4570, GNorm = 1.0077, lr_0 = 1.7014e-04
Loss = 9.1350e-01, PNorm = 42.4751, GNorm = 1.6262, lr_0 = 1.7050e-04
Loss = 8.5770e-01, PNorm = 42.4946, GNorm = 1.6793, lr_0 = 1.7087e-04
Loss = 7.3907e-01, PNorm = 42.5130, GNorm = 1.3633, lr_0 = 1.7124e-04
Loss = 8.1248e-01, PNorm = 42.5249, GNorm = 0.9855, lr_0 = 1.7161e-04
Loss = 8.4812e-01, PNorm = 42.5431, GNorm = 1.3814, lr_0 = 1.7197e-04
Loss = 8.4587e-01, PNorm = 42.5599, GNorm = 1.5301, lr_0 = 1.7234e-04
Loss = 7.3740e-01, PNorm = 42.5714, GNorm = 3.0075, lr_0 = 1.7271e-04
Loss = 9.4126e-01, PNorm = 42.5820, GNorm = 2.3288, lr_0 = 1.7307e-04
Loss = 7.6465e-01, PNorm = 42.6042, GNorm = 1.4149, lr_0 = 1.7344e-04
Loss = 8.1289e-01, PNorm = 42.6169, GNorm = 1.7600, lr_0 = 1.7381e-04
Loss = 6.5086e-01, PNorm = 42.6356, GNorm = 1.1228, lr_0 = 1.7417e-04
Loss = 9.4274e-01, PNorm = 42.6402, GNorm = 1.0844, lr_0 = 1.7454e-04
Loss = 8.7786e-01, PNorm = 42.6668, GNorm = 1.4450, lr_0 = 1.7491e-04
Loss = 8.8581e-01, PNorm = 42.6793, GNorm = 0.7121, lr_0 = 1.7528e-04
Loss = 8.1088e-01, PNorm = 42.6970, GNorm = 1.7356, lr_0 = 1.7564e-04
Loss = 8.2104e-01, PNorm = 42.7154, GNorm = 1.0066, lr_0 = 1.7601e-04
Loss = 7.7843e-01, PNorm = 42.7331, GNorm = 1.5241, lr_0 = 1.7638e-04
Loss = 8.4082e-01, PNorm = 42.7543, GNorm = 2.4762, lr_0 = 1.7674e-04
Loss = 8.0974e-01, PNorm = 42.7769, GNorm = 1.4170, lr_0 = 1.7711e-04
Loss = 8.7767e-01, PNorm = 42.7948, GNorm = 1.0585, lr_0 = 1.7748e-04
Loss = 8.2890e-01, PNorm = 42.8173, GNorm = 2.0630, lr_0 = 1.7784e-04
Loss = 6.3835e-01, PNorm = 42.8343, GNorm = 1.1575, lr_0 = 1.7821e-04
Loss = 8.7424e-01, PNorm = 42.8484, GNorm = 1.6267, lr_0 = 1.7858e-04
Loss = 8.8267e-01, PNorm = 42.8672, GNorm = 1.2492, lr_0 = 1.7895e-04
Loss = 8.2189e-01, PNorm = 42.8828, GNorm = 1.1663, lr_0 = 1.7931e-04
Loss = 8.5352e-01, PNorm = 42.9020, GNorm = 1.1848, lr_0 = 1.7968e-04
Loss = 9.4363e-01, PNorm = 42.9205, GNorm = 1.5879, lr_0 = 1.8005e-04
Loss = 8.8960e-01, PNorm = 42.9461, GNorm = 1.6400, lr_0 = 1.8041e-04
Loss = 7.9507e-01, PNorm = 42.9634, GNorm = 0.9273, lr_0 = 1.8078e-04
Loss = 7.3336e-01, PNorm = 42.9852, GNorm = 0.8393, lr_0 = 1.8115e-04
Loss = 8.6518e-01, PNorm = 43.0053, GNorm = 0.8055, lr_0 = 1.8151e-04
Loss = 9.3177e-01, PNorm = 43.0260, GNorm = 1.2710, lr_0 = 1.8188e-04
Loss = 7.3732e-01, PNorm = 43.0524, GNorm = 1.6596, lr_0 = 1.8225e-04
Loss = 9.1306e-01, PNorm = 43.0691, GNorm = 1.6090, lr_0 = 1.8262e-04
Loss = 8.1537e-01, PNorm = 43.0961, GNorm = 1.2246, lr_0 = 1.8298e-04
Loss = 7.3163e-01, PNorm = 43.1156, GNorm = 2.1986, lr_0 = 1.8335e-04
Loss = 9.1073e-01, PNorm = 43.1342, GNorm = 2.8662, lr_0 = 1.8372e-04
Loss = 8.2735e-01, PNorm = 43.1597, GNorm = 3.9617, lr_0 = 1.8408e-04
