Command line
Loss = 8.3207e-01, PNorm = 40.5358, GNorm = 1.3490, lr_0 = 1.3017e-04
Loss = 9.6598e-01, PNorm = 40.5471, GNorm = 1.9825, lr_0 = 1.3058e-04
Loss = 8.1798e-01, PNorm = 40.5610, GNorm = 1.7295, lr_0 = 1.3098e-04
Loss = 8.9808e-01, PNorm = 40.5777, GNorm = 3.7274, lr_0 = 1.3139e-04
Loss = 9.7031e-01, PNorm = 40.5947, GNorm = 1.8704, lr_0 = 1.3180e-04
Loss = 1.0471e+00, PNorm = 40.6140, GNorm = 1.6947, lr_0 = 1.3220e-04
Loss = 9.1748e-01, PNorm = 40.6353, GNorm = 1.9595, lr_0 = 1.3261e-04
Loss = 7.6852e-01, PNorm = 40.6577, GNorm = 2.1146, lr_0 = 1.3302e-04
Loss = 9.6681e-01, PNorm = 40.6731, GNorm = 1.4243, lr_0 = 1.3343e-04
Loss = 1.0398e+00, PNorm = 40.6905, GNorm = 1.7353, lr_0 = 1.3383e-04
Loss = 8.7121e-01, PNorm = 40.7092, GNorm = 1.4663, lr_0 = 1.3424e-04
Loss = 8.1317e-01, PNorm = 40.7236, GNorm = 1.6188, lr_0 = 1.3465e-04
Loss = 1.0274e+00, PNorm = 40.7387, GNorm = 2.5147, lr_0 = 1.3505e-04
Loss = 8.8108e-01, PNorm = 40.7586, GNorm = 1.7953, lr_0 = 1.3546e-04
Loss = 8.7700e-01, PNorm = 40.7724, GNorm = 1.1175, lr_0 = 1.3587e-04
Loss = 6.9050e-01, PNorm = 40.7927, GNorm = 1.9472, lr_0 = 1.3628e-04
Loss = 1.1361e+00, PNorm = 40.8048, GNorm = 1.9319, lr_0 = 1.3668e-04
Loss = 1.0142e+00, PNorm = 40.8307, GNorm = 4.4512, lr_0 = 1.3709e-04
Loss = 9.1032e-01, PNorm = 40.8523, GNorm = 2.6331, lr_0 = 1.3750e-04
Loss = 8.4549e-01, PNorm = 40.8728, GNorm = 2.4336, lr_0 = 1.3790e-04
Loss = 9.0441e-01, PNorm = 40.8852, GNorm = 1.9595, lr_0 = 1.3831e-04
Loss = 8.4189e-01, PNorm = 40.8992, GNorm = 1.4490, lr_0 = 1.3872e-04
Loss = 8.4414e-01, PNorm = 40.9123, GNorm = 1.3140, lr_0 = 1.3913e-04
Loss = 7.6974e-01, PNorm = 40.9269, GNorm = 1.3121, lr_0 = 1.3953e-04
Loss = 1.0132e+00, PNorm = 40.9362, GNorm = 2.4909, lr_0 = 1.3994e-04
Loss = 8.5458e-01, PNorm = 40.9517, GNorm = 0.9182, lr_0 = 1.4035e-04
Loss = 8.5698e-01, PNorm = 40.9648, GNorm = 1.1258, lr_0 = 1.4075e-04
Loss = 8.5277e-01, PNorm = 40.9808, GNorm = 2.9661, lr_0 = 1.4116e-04
Loss = 7.8668e-01, PNorm = 40.9955, GNorm = 3.4716, lr_0 = 1.4157e-04
Loss = 8.9099e-01, PNorm = 41.0065, GNorm = 1.2983, lr_0 = 1.4198e-04
Loss = 9.5883e-01, PNorm = 41.0201, GNorm = 1.7037, lr_0 = 1.4238e-04
Loss = 9.9934e-01, PNorm = 41.0342, GNorm = 1.5376, lr_0 = 1.4279e-04
Loss = 8.5495e-01, PNorm = 41.0503, GNorm = 1.2207, lr_0 = 1.4320e-04
Loss = 8.4757e-01, PNorm = 41.0620, GNorm = 1.5620, lr_0 = 1.4360e-04
Loss = 8.6059e-01, PNorm = 41.0767, GNorm = 0.9930, lr_0 = 1.4401e-04
Loss = 9.5200e-01, PNorm = 41.0931, GNorm = 1.9742, lr_0 = 1.4442e-04
Loss = 7.5408e-01, PNorm = 41.1118, GNorm = 4.5090, lr_0 = 1.4482e-04
Loss = 7.7768e-01, PNorm = 41.1237, GNorm = 1.0105, lr_0 = 1.4523e-04
Loss = 7.4067e-01, PNorm = 41.1392, GNorm = 1.4091, lr_0 = 1.4564e-04
Loss = 8.8312e-01, PNorm = 41.1514, GNorm = 2.4967, lr_0 = 1.4605e-04
Loss = 7.9697e-01, PNorm = 41.1639, GNorm = 1.4079, lr_0 = 1.4645e-04
Loss = 8.9529e-01, PNorm = 41.1786, GNorm = 2.6658, lr_0 = 1.4686e-04
Loss = 1.0339e+00, PNorm = 41.1919, GNorm = 1.9765, lr_0 = 1.4727e-04
Loss = 9.6484e-01, PNorm = 41.2155, GNorm = 1.1986, lr_0 = 1.4767e-04
Loss = 8.2636e-01, PNorm = 41.2379, GNorm = 1.1505, lr_0 = 1.4808e-04
Loss = 9.6062e-01, PNorm = 41.2589, GNorm = 1.1773, lr_0 = 1.4849e-04
Loss = 8.3600e-01, PNorm = 41.2837, GNorm = 1.4338, lr_0 = 1.4890e-04
Loss = 1.0318e+00, PNorm = 41.3036, GNorm = 1.3277, lr_0 = 1.4930e-04
Loss = 8.9511e-01, PNorm = 41.3241, GNorm = 1.2666, lr_0 = 1.4971e-04
Loss = 8.5361e-01, PNorm = 41.3372, GNorm = 1.2927, lr_0 = 1.5012e-04
Loss = 8.2825e-01, PNorm = 41.3546, GNorm = 2.3692, lr_0 = 1.5052e-04
Loss = 8.9810e-01, PNorm = 41.3707, GNorm = 1.5420, lr_0 = 1.5093e-04
Loss = 8.5903e-01, PNorm = 41.3873, GNorm = 2.4259, lr_0 = 1.5134e-04
Loss = 9.2725e-01, PNorm = 41.4027, GNorm = 1.5300, lr_0 = 1.5175e-04
Loss = 8.4920e-01, PNorm = 41.4232, GNorm = 1.5769, lr_0 = 1.5215e-04
Loss = 7.2426e-01, PNorm = 41.4417, GNorm = 2.1039, lr_0 = 1.5256e-04
Loss = 8.5388e-01, PNorm = 41.4551, GNorm = 2.3583, lr_0 = 1.5297e-04
Loss = 7.2308e-01, PNorm = 41.4761, GNorm = 1.4414, lr_0 = 1.5337e-04
Loss = 8.2275e-01, PNorm = 41.4902, GNorm = 1.7270, lr_0 = 1.5378e-04
Loss = 7.5792e-01, PNorm = 41.5058, GNorm = 1.6631, lr_0 = 1.5419e-04
Loss = 8.2751e-01, PNorm = 41.5168, GNorm = 2.1120, lr_0 = 1.5460e-04
Loss = 9.4709e-01, PNorm = 41.5276, GNorm = 2.2542, lr_0 = 1.5500e-04
Loss = 9.1195e-01, PNorm = 41.5467, GNorm = 1.1020, lr_0 = 1.5541e-04
Loss = 8.2118e-01, PNorm = 41.5680, GNorm = 1.8233, lr_0 = 1.5582e-04
Loss = 9.7297e-01, PNorm = 41.5837, GNorm = 1.8921, lr_0 = 1.5622e-04
Loss = 8.5854e-01, PNorm = 41.6087, GNorm = 3.1610, lr_0 = 1.5663e-04
Loss = 8.8141e-01, PNorm = 41.6250, GNorm = 1.2603, lr_0 = 1.5704e-04
Loss = 7.3590e-01, PNorm = 41.6475, GNorm = 1.9960, lr_0 = 1.5745e-04
Loss = 8.9016e-01, PNorm = 41.6585, GNorm = 2.8878, lr_0 = 1.5785e-04
Loss = 9.6174e-01, PNorm = 41.6848, GNorm = 1.2894, lr_0 = 1.5826e-04
Loss = 8.4563e-01, PNorm = 41.7083, GNorm = 3.9388, lr_0 = 1.5867e-04
Loss = 8.3425e-01, PNorm = 41.7276, GNorm = 1.1442, lr_0 = 1.5907e-04
Loss = 7.6694e-01, PNorm = 41.7500, GNorm = 1.5078, lr_0 = 1.5948e-04
Loss = 9.3401e-01, PNorm = 41.7692, GNorm = 1.8841, lr_0 = 1.5989e-04
Loss = 8.8179e-01, PNorm = 41.7939, GNorm = 2.7018, lr_0 = 1.6030e-04
Loss = 8.7959e-01, PNorm = 41.8124, GNorm = 1.8850, lr_0 = 1.6070e-04
Loss = 8.4996e-01, PNorm = 41.8307, GNorm = 1.3787, lr_0 = 1.6111e-04
Loss = 8.4767e-01, PNorm = 41.8480, GNorm = 2.0024, lr_0 = 1.6152e-04
Loss = 9.0794e-01, PNorm = 41.8736, GNorm = 1.0514, lr_0 = 1.6192e-04
Loss = 8.7702e-01, PNorm = 41.8984, GNorm = 1.7037, lr_0 = 1.6233e-04
Loss = 8.2025e-01, PNorm = 41.9202, GNorm = 1.5765, lr_0 = 1.6274e-04
Loss = 1.0012e+00, PNorm = 41.9412, GNorm = 2.8447, lr_0 = 1.6315e-04
Loss = 9.0174e-01, PNorm = 41.9634, GNorm = 2.2687, lr_0 = 1.6355e-04
Loss = 8.6092e-01, PNorm = 41.9813, GNorm = 1.1563, lr_0 = 1.6396e-04
Loss = 8.6947e-01, PNorm = 42.0004, GNorm = 1.0563, lr_0 = 1.6437e-04
Loss = 8.0275e-01, PNorm = 42.0185, GNorm = 1.2566, lr_0 = 1.6477e-04
Loss = 9.9417e-01, PNorm = 42.0379, GNorm = 0.9265, lr_0 = 1.6518e-04
Loss = 9.1040e-01, PNorm = 42.0711, GNorm = 1.0837, lr_0 = 1.6559e-04
Loss = 8.5917e-01, PNorm = 42.0923, GNorm = 0.8874, lr_0 = 1.6600e-04
Loss = 9.1766e-01, PNorm = 42.1127, GNorm = 1.2670, lr_0 = 1.6640e-04
Loss = 8.0306e-01, PNorm = 42.1371, GNorm = 1.3669, lr_0 = 1.6681e-04
Loss = 8.0063e-01, PNorm = 42.1589, GNorm = 1.5577, lr_0 = 1.6722e-04
Loss = 9.1407e-01, PNorm = 42.1818, GNorm = 1.3511, lr_0 = 1.6762e-04
Loss = 8.8759e-01, PNorm = 42.2057, GNorm = 1.3201, lr_0 = 1.6803e-04
Loss = 8.8166e-01, PNorm = 42.2250, GNorm = 1.7328, lr_0 = 1.6844e-04
Loss = 7.3017e-01, PNorm = 42.2460, GNorm = 2.3074, lr_0 = 1.6885e-04
Loss = 9.1864e-01, PNorm = 42.2640, GNorm = 1.8712, lr_0 = 1.6925e-04
Loss = 8.4778e-01, PNorm = 42.2902, GNorm = 1.3379, lr_0 = 1.6966e-04
Loss = 8.4937e-01, PNorm = 42.3085, GNorm = 2.7018, lr_0 = 1.7007e-04
Loss = 8.0704e-01, PNorm = 42.3263, GNorm = 0.9624, lr_0 = 1.7047e-04
Loss = 8.7658e-01, PNorm = 42.3481, GNorm = 1.7875, lr_0 = 1.7088e-04
Loss = 9.2040e-01, PNorm = 42.3810, GNorm = 1.3555, lr_0 = 1.7129e-04
Loss = 9.0911e-01, PNorm = 42.4124, GNorm = 1.4978, lr_0 = 1.7170e-04
Loss = 9.0186e-01, PNorm = 42.4394, GNorm = 1.3144, lr_0 = 1.7210e-04
Loss = 7.7340e-01, PNorm = 42.4686, GNorm = 2.1773, lr_0 = 1.7251e-04
Loss = 8.7922e-01, PNorm = 42.4921, GNorm = 1.2327, lr_0 = 1.7292e-04
Loss = 8.5381e-01, PNorm = 42.5199, GNorm = 2.1047, lr_0 = 1.7332e-04
Loss = 8.3567e-01, PNorm = 42.5471, GNorm = 0.9608, lr_0 = 1.7373e-04
Loss = 8.7603e-01, PNorm = 42.5797, GNorm = 1.1553, lr_0 = 1.7414e-04
Loss = 8.9707e-01, PNorm = 42.6117, GNorm = 1.0408, lr_0 = 1.7455e-04
Loss = 9.0981e-01, PNorm = 42.6517, GNorm = 1.5542, lr_0 = 1.7495e-04
Loss = 9.3503e-01, PNorm = 42.6786, GNorm = 1.2250, lr_0 = 1.7536e-04
Loss = 9.1086e-01, PNorm = 42.6979, GNorm = 1.4768, lr_0 = 1.7577e-04
Loss = 8.5862e-01, PNorm = 42.7212, GNorm = 1.1228, lr_0 = 1.7617e-04
Loss = 7.6305e-01, PNorm = 42.7532, GNorm = 0.9489, lr_0 = 1.7658e-04
Loss = 9.1662e-01, PNorm = 42.7768, GNorm = 1.0300, lr_0 = 1.7699e-04
Loss = 9.1411e-01, PNorm = 42.8083, GNorm = 1.7369, lr_0 = 1.7740e-04
Loss = 7.6415e-01, PNorm = 42.8345, GNorm = 1.6933, lr_0 = 1.7780e-04
Loss = 9.6097e-01, PNorm = 42.8587, GNorm = 1.8807, lr_0 = 1.7821e-04
Loss = 7.6511e-01, PNorm = 42.8907, GNorm = 0.8989, lr_0 = 1.7862e-04
Loss = 9.8520e-01, PNorm = 42.9156, GNorm = 1.5318, lr_0 = 1.7902e-04
Loss = 9.8312e-01, PNorm = 42.9441, GNorm = 1.3869, lr_0 = 1.7943e-04
Loss = 9.3029e-01, PNorm = 42.9734, GNorm = 1.6881, lr_0 = 1.7984e-04
Loss = 8.6187e-01, PNorm = 43.0020, GNorm = 1.2623, lr_0 = 1.8025e-04
Loss = 8.2618e-01, PNorm = 43.0402, GNorm = 1.0563, lr_0 = 1.8065e-04
Loss = 1.0281e+00, PNorm = 43.0752, GNorm = 3.2558, lr_0 = 1.8106e-04
Loss = 7.0677e-01, PNorm = 43.1206, GNorm = 0.9185, lr_0 = 1.8147e-04
Loss = 7.5529e-01, PNorm = 43.1381, GNorm = 0.9988, lr_0 = 1.8187e-04
Loss = 9.8187e-01, PNorm = 43.1581, GNorm = 1.7735, lr_0 = 1.8228e-04
Loss = 8.7364e-01, PNorm = 43.1906, GNorm = 1.7439, lr_0 = 1.8269e-04
Loss = 8.7024e-01, PNorm = 43.2193, GNorm = 2.1739, lr_0 = 1.8310e-04
Loss = 8.1192e-01, PNorm = 43.2446, GNorm = 1.0727, lr_0 = 1.8350e-04
Loss = 7.5210e-01, PNorm = 43.2669, GNorm = 1.3945, lr_0 = 1.8391e-04
Loss = 8.2516e-01, PNorm = 43.2811, GNorm = 2.0190, lr_0 = 1.8432e-04
Loss = 8.3797e-01, PNorm = 43.2978, GNorm = 1.3419, lr_0 = 1.8472e-04
Loss = 8.4638e-01, PNorm = 43.3146, GNorm = 1.4214, lr_0 = 1.8513e-04
Loss = 8.4493e-01, PNorm = 43.3318, GNorm = 2.4503, lr_0 = 1.8554e-04
Loss = 9.4959e-01, PNorm = 43.3594, GNorm = 1.4694, lr_0 = 1.8594e-04
Loss = 7.5608e-01, PNorm = 43.3943, GNorm = 1.2838, lr_0 = 1.8635e-04
Loss = 8.4832e-01, PNorm = 43.4141, GNorm = 1.7026, lr_0 = 1.8676e-04
Loss = 9.7481e-01, PNorm = 43.4413, GNorm = 1.9321, lr_0 = 1.8717e-04
Loss = 6.9929e-01, PNorm = 43.4760, GNorm = 0.6577, lr_0 = 1.8757e-04
Loss = 8.9653e-01, PNorm = 43.4931, GNorm = 1.8410, lr_0 = 1.8798e-04
Loss = 7.7782e-01, PNorm = 43.5257, GNorm = 1.0305, lr_0 = 1.8839e-04
Loss = 9.4539e-01, PNorm = 43.5437, GNorm = 2.4635, lr_0 = 1.8879e-04
Loss = 8.6295e-01, PNorm = 43.5635, GNorm = 1.5343, lr_0 = 1.8920e-04
Loss = 7.4644e-01, PNorm = 43.5821, GNorm = 0.7256, lr_0 = 1.8961e-04
Loss = 8.6193e-01, PNorm = 43.6006, GNorm = 1.4480, lr_0 = 1.9002e-04
Loss = 8.3442e-01, PNorm = 43.6325, GNorm = 0.9617, lr_0 = 1.9042e-04
Loss = 8.4602e-01, PNorm = 43.6591, GNorm = 1.3674, lr_0 = 1.9083e-04
Loss = 9.9505e-01, PNorm = 43.6802, GNorm = 1.7312, lr_0 = 1.9124e-04
Loss = 8.8814e-01, PNorm = 43.7141, GNorm = 0.8354, lr_0 = 1.9164e-04
Loss = 8.4299e-01, PNorm = 43.7391, GNorm = 1.2469, lr_0 = 1.9205e-04
Loss = 8.1051e-01, PNorm = 43.7655, GNorm = 1.9142, lr_0 = 1.9246e-04
Loss = 7.0901e-01, PNorm = 43.7859, GNorm = 1.5915, lr_0 = 1.9287e-04
Loss = 7.9669e-01, PNorm = 43.8033, GNorm = 1.3600, lr_0 = 1.9327e-04
